intent,score,margin,title,url,alt
μειωση_τιμολογιου,0.119,0.007,"Βεβαίωση πληρωμών (προσκύρωσης, εισφοράς σχεδίου πόλης, προστίμου αυθαίρετης κατασκευής)",https://eservices.heraklion.gr/e-services/economic-services/bebeosi-plhromon.html,Άνοιγμα μερίδας δημότη – λόγω διαζυγίου (με διαζύγιο που έχει καταχωρηθεί στην ληξιαρχική πράξη γάμου μέχρι το έτος 2017)
δελτια_τυπου,0.147,0.052,Διόρθωση τόπου γέννησης,https://eservices.heraklion.gr/e-services/municipal-roll/diorthosi-topou-gennisis.html,Άδεια Πολιτικού Γάμου για Αλλοδαπούς
ενοικιαση_ταφου,0.151,0.010,Μεταδημότευση λόγω διετούς κατοικίας,https://eservices.heraklion.gr/e-services/municipal-roll/metadimoteusi-logo-dietous-katikias.html,Βεβαίωση Μόνιμης Κατοικίας Δημότη Ηρακλείου
αδεια_παραγωγου_αγροτη,0.159,0.026,Άδεια Πολιτικού Γάμου για Αλλοδαπούς,https://eservices.heraklion.gr/e-services/civil-marriages/marriage-foreigners.html,Άδεια Πολιτικού Γάμου για Έλληνες Πολίτες
θεωρηση_γραμμων,0.160,0.010,Αντίγραφα φακέλου καταγεγραμμένου αυθαιρέτου,https://eservices.heraklion.gr/e-services/town-planning/antigrafo-fakelou-katagegramenou-aftheretou.html,Χορήγηση αναθεώρησης - ενιαίας άδειας ίδρυσης και λειτουργίας μονάδας φροντίδας προσχολικής αγωγής και διαπαιδαγώγησης
τελος_0_5,0.171,0.021,ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας,https://eservices.heraklion.gr/e-services/town-planning/e-tap.html,Αίτηση Τέλεσης Πολιτικού Γάμου μετά την έκδοση των αδειών
ενοικιαση_οστεοφυλακιου,0.182,0.019,Βεβαίωση Μόνιμης Κατοικίας Δημότη Ηρακλείου,https://eservices.heraklion.gr/e-services/municipal-roll/bebeosi-monimis-katoikias-dimoti.html,Μεταδημότευση λόγω διετούς κατοικίας
συμμετοχη_εμποροπανηγυρη,0.186,0.073,Καταγγελία (Λαϊκές αγορές-Πλανόδιο-Υπαίθριο εμπόριο,https://eservices.heraklion.gr/e-services/municipal-police/kataggelia-laikes.html,Σύμφωνο Συμβίωσης (Ν.4356/2015)
μειωση_τελων_λογω_αναπηριας,0.193,0.027,Μεταδημότευση λόγω διετούς κατοικίας,https://eservices.heraklion.gr/e-services/municipal-roll/metadimoteusi-logo-dietous-katikias.html,Μεταδημότευση λόγω αρχικής δημοτικότητας
αδεια_κολυμβητικης_δεξαμενης,0.197,0.046,Απαλλαγή προσαυξήσεων βεβαιωμένης οφειλής,https://eservices.heraklion.gr/e-services/economic-services/apalagi-prosauksisewn.html,Έκδοση δημοτικής ενημερότητας
