"intent","service_title"
"πράσινο_δένδρα","Απομάκρυνση - κοπή δένδρων σε κοινόχρηστους χώρους"
"βλάβες_αρδευτικών_δικτύων","Βλάβες αρδευτικών δικτύων"
"αδέσποτα_ζώα","Καταγγελία (Ζώα συντροφιάς - αδέσποτα)"
"παγκάκια","Αιτήματα για Συντήρηση και τοποθέτηση αστικού εξοπλισμού προαυλίων Χώρων σε Σχολεία (παγκάκια ,μπασκέτες ,παιχνίδια )"
"πεζοδρόμιο","Χορήγηση άδειας επισκευής/παρέμβασης εντός κοινόχρηστου χώρου (πεζοδρόμιο κλπ)"
"αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου","Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση ικριωμάτων σε πεζοδρόμια, πεζόδρομους και πλατείες"
"άδεια_κάδου_οικοδομικών_υπολειμμάτων","Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση κάδου οικοδομικών υπολειμμάτων σε οδόστρωμα"
"δημοτολόγιο","Αλλαγή στοιχείων τέκνου λόγω υιοθεσίας, αναγνώρισης, πρόσληψης επωνύμου, πατρωνύμου και εγγραφή στα δημοτολόγια (με κωδικούς taxisnet)"
"βεβαίωση_κατοικίας","Βεβαίωση Μόνιμης Κατοικίας Δημότη Ηρακλείου"
"εγγραφή_αλλοδαπών_ελληνική_ιθαγένεια","Εγγραφή Αλλοδαπών που αποκτούν την Ελληνική Ιθαγένεια με πολιτογράφηση και τέκνων λόγω γέννησης - φοίτησης, φοίτησης"
"πλησιέστεροι_συγγενείς","Χορήγηση Πιστοποιητικoύ πλησιέστερων συγγενών"
"πιστοποιητικό_εντοπιότητας","Χορήγηση Πιστοποιητικού Εντοπιότητας (αφορά μόνο εκπαιδευτικούς)"
"έγκριση_πρόσληψης_προσωπικού_μφπαδ","Κατάθεση Δικαιολογητικών Μ.Φ.Π.Α.&Δ. Για την έγκριση πρόσληψης προσωπικού"
"αναθεώρηση_άδειας_μφπαδ","Χορήγηση αναθεώρησης - ενιαίας άδειας ίδρυσης και λειτουργίας μονάδας φροντίδας προσχολικής αγωγής και διαπαιδαγώγησης"
"ενιαία_άδεια_ίδρυσης_μφπαδ","Χορήγηση ενιαίας άδειας ίδρυσης-αναθεώρησης και λειτουργίας μονάδας φροντίδας προσχολικής αγωγής και διαπαιδαγώγησης"
"ένσταση_πολεοδομικής_μελέτης","Ένσταση (μελέτης κτηματογράφησης ή μελέτης πολεοδόμησης ή τροποποίησης ρυμοτομικού σχεδίου)"
"αντίγραφα_αδειών_δόμησης_μετά_2018","Αντίγραφα στοιχείων αδειών δόμησης (μετά το έτος 2018)"
"αντίγραφα_άδειας_πολεοδομίας","Αντίγραφα στοιχείων οικοδομικών αδειών (έως το έτος 2018)"
"αντίγραφα_φακέλου_αυθαιρέτου","Αντίγραφα φακέλου καταγεγραμμένου αυθαιρέτου"
"θέματα_εκθέσεων_αυτοψίας","Θέματα Εκθέσεων Αυτοψίας (Ένσταση, Αποδοχή, Διαγραφή, Αναστολή Προστίμου Δήλωση κατεδάφισης)"
"τροποποίηση_σχεδίου_πόλης","Τροποποίηση σχεδίου πόλης"
"ηλεκτρονική_εξόφληση_λογαριασμού_δευαη","Ηλεκτρονική Εξόφληση Λογαριασμού ΔΕΥΑΗ"
"άδεια_έκθεσης_ζώων_συντροφιάς","Έκδοση άδειας διοργάνωσης έκθεσης ζώων συντροφιάς"
"γενική_αίτηση_κοκ","Γενική αίτηση για θέματα Κ.Ο.Κ"
"καταγγελία_άλλα_θέματα","Καταγγελία για άλλα θέματα"
"ογκοδέματα","Απομάκρυνση ογκωδών αντικειμένων"
"καθαρισμός_οικοπέδου_πυροπροστασία","Καθαρισμός δημοτικών οικοπέδων - Αποψίλωση"
